asset_id,asset_type,asset_lat,asset_lon,sf_site_id,sf_lat,sf_lon,distance_m,confidence_tier,review_flag,sf_stage,sf_street
a0ZVF000003VlTz2AK,,44.705,-93.216389,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlUB2A0,,29.568978,-95.829839,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlUE2A0,,43.806983,-88.676772,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlUb2AK,,38.45982,-90.370293,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlUl2AK,,38.7309,-90.21948,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlUp2AK,,38.608349,-90.307065,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlXN2A0,,47.6283,-122.3423,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlXU2A0,,40.954722,-75.975833,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlXV2A0,,40.943055,-75.954722,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlXZ2A0,,40.7975,-75.9678,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlXa2AK,,40.99284,-75.18222,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlXb2AK,,41.009222,-75.181306,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlXf2AK,,41.010692,-75.284864,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlXh2AK,,41.102028,-75.013,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlYo2AK,,40.58315,-74.1689,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlYq2AK,,40.6019,-74.19369,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlYr2AK,,40.82546,-73.91887,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlYt2AK,,40.82361,-73.909167,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlYy2AK,,40.822777,-73.914722,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlZI2A0,,30.333707,-95.476841,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlZj2AK,,41.75612,-87.910057,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlZq2AK,,41.484167,-81.146389,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vldr2AC,,43.2074,-77.6799,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vlds2AC,,43.17,-77.628,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vldu2AC,,39.693761,-89.588211,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vle22AC,,42.52378,-83.39974,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vle52AC,,41.751314,-89.757628,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vle62AC,,41.781526,-89.692633,,,,,NO_MATCH,FALSE,,
a0ZVF000003VleJ2AS,,41.6298,-86.2328,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vlee2AC,,34.91541,-82.2429,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vlef2AC,,34.938,-82.26721,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vleg2AC,,34.94215,-82.25276,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlfG2AS,,33.501361,-84.487778,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlfJ2AS,,33.505528,-117.693389,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlfO2AS,,44.511087,-88.3299,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlfQ2AS,,40.113235,-88.477958,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlfV2AS,,39.829869,-83.0029,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlfY2AS,,37.181944,-93.313056,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vlfc2AC,,37.2275,-93.292778,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vlfe2AC,,37.206389,-93.231111,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vlfi2AC,,37.140417,-93.274148,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vlfj2AC,,37.16,-93.2706,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vlfl2AC,,37.184806,-93.261028,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vlfm2AC,,37.14887,-93.26099,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vlfo2AC,,37.161628,-93.228756,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vlfp2AC,,37.135833,-93.268611,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlgF2AS,,39.574556,-119.780278,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlgR2AS,,35.42601,-80.61192,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlgU2AS,,35.44929,-80.86792,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlgV2AS,,35.244889,-81.086333,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlgX2AS,,35.504389,-80.836333,,,,,NO_MATCH,FALSE,,
a0ZVF000003VlgZ2AS,,35.433372,-80.996181,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vlgd2AC,,35.275111,-81.891639,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vlge2AC,,35.334183,-81.861433,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vlgg2AC,,35.275083,-81.217468,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vlgk2AC,,35.27416,-81.222829,,,,,NO_MATCH,FALSE,,
a0ZVF000003VmLk2AK,,34.760673,-87.696232,,,,,NO_MATCH,FALSE,,
a0ZVF000003VmLm2AK,,41.449035,-82.086245,,,,,NO_MATCH,FALSE,,
a0ZVF000003VmLn2AK,,41.454056,-82.0704,,,,,NO_MATCH,FALSE,,
a0ZVF000003VmLy2AK,,41.49459,-95.44689,,,,,NO_MATCH,FALSE,,
