id,address,label,input_confidence
dc_205,"1771 N ST NW, WASHINGTON, DC 20036",DC,high
dc_206,"1776 I ST NW, WASHINGTON, DC 20006",DC,high
dc_207,"1782 COLUMBIA RD NW, WASHINGTON, DC 20009",DC,high
dc_208,"1800 G ST NW 1ST FL, WASHINGTON, DC 20006",DC,high
dc_209,"1800 MARTIN LUTHER KING JR AVE SE, WASHINGTON, DC 20020",DC,high
dc_210,"1800 PERRY ST NE, WASHINGTON, DC 20018",DC,high
dc_211,"1801 16TH ST NW, WASHINGTON, DC 20009",DC,high
dc_212,"1801 K ST NW, WASHINGTON, DC 20006",DC,high
dc_213,"1801 WEST VIRGINIA AVE NE, WASHINGTON, DC 20002",DC,high
dc_214,"1803 BILTMORE ST NW, WASHINGTON, DC 20009",DC,high
dc_215,"1806 KENYON ST NW, WASHINGTON, DC 20010",DC,high
dc_216,"1811 IRVING ST NW, WASHINGTON, DC 20010",DC,high
dc_217,"1818 NEW YORK AVE NE ROOFTOP, WASHINGTON, DC 20002",DC,high
dc_218,"1818 NEWTON ST NW, WASHINGTON, DC 20010",DC,high
dc_219,"1825 7TH ST NW 1, WASHINGTON, DC 20001",DC,high
dc_220,"1827 WEST VIRGINIA AVE NE, WASHINGTON, DC 20002",DC,high
dc_221,"1830 CONSTITUTION AVE NE, WASHINGTON, DC 20002",DC,high
dc_222,"1845 4TH ST NE, WASHINGTON, DC 20002",DC,high
dc_223,"185 CHAPPIE JAMES BLVD SW, WASHINGTON, DC 20032",DC,high
dc_224,1870 CONSTITUTION AVE NE,DC,medium
dc_225,"1875 CONNECTICUT AVE NW, WASHINGTON, DC 20009",DC,high
dc_226,"1900 EVARTS ST NE, WASHINGTON, DC 20018",DC,high
dc_227,"1900 K ST NW, WASHINGTON, DC 20006",DC,high
dc_228,"1900 MASSACHUSETTS AVE SE, WASHINGTON, DC 20003",DC,high
dc_229,"1900 PENNSYLVANIA AVE NW, WASHINGTON, DC 20431",DC,high
dc_230,"1901 ANACOSTIA DR SE, WASHINGTON, DC 20020",DC,high
dc_231,"1901 D ST SE, WASHINGTON, DC 20003",DC,high
dc_232,"1901 PENNSYLVANIA AVE NW, WASHINGTON, DC 20006",DC,high
dc_233,"1905 BRENTWOOD RD NE, WASHINGTON, DC 20018",DC,high
dc_234,"1911 PENNSYLVANIA AVE NW, WASHINGTON, DC 20006",DC,high
dc_235,"1912 FOXVIEW CIR NW, WASHINGTON, DC 20007",DC,high
dc_236,"1912 Q ST SE, WASHINGTON, DC 20020",DC,high
dc_237,"1913 23RD ST NW, WASHINGTON, DC 20008",DC,high
dc_238,"1914 CONNECTICUT AVE NW, WASHINGTON, DC 20009",DC,high
dc_239,"1919 14TH ST NW, WASHINGTON, DC 20009",DC,high
dc_240,"1919 M ST NW, WASHINGTON, DC 20036",DC,high
dc_241,"1925 BLADENSBURG RD NE, WASHINGTON, DC 20002",DC,high
dc_242,"1925 TULIP ST NW, WASHINGTON, DC 20012",DC,high
dc_243,"1930 1ST ST SW, WASHINGTON, DC 20024",DC,high
dc_244,"1947 14TH ST NW, WASHINGTON, DC 20009",DC,high
dc_245,"1950 BENNING RD NE, WASHINGTON, DC 20002",DC,high
dc_246,"1990 K ST NW, WASHINGTON, DC 20006",DC,high
dc_247,"1992 RETTA GILLIAM CT SE, WASHINGTON, DC 20020",DC,high
dc_248,"2 M ST NE, WASHINGTON, DC 20002",DC,high
dc_249,"20 MACDILL BLVD SW JBAB MITSC, WASHINGTON, DC 20032",DC,high
