id,address,label,input_confidence
dc_021,"1010 C ST SE, WASHINGTON, DC 20003",DC,high
dc_022,"1010 VERMONT AVE NW, WASHINGTON, DC 20005",DC,high
dc_023,"1011 1ST ST SE, WASHINGTON, DC 20003",DC,high
dc_024,"1011 NORTH CAPITOL ST NE, WASHINGTON, DC 20002",DC,high
dc_025,"1015 HALF ST SE, WASHINGTON, DC 20003",DC,high
dc_026,"102 56TH ST SE, WASHINGTON, DC 20019",DC,high
dc_027,"1023 31ST ST NW ROOF, WASHINGTON, DC 20007",DC,high
dc_028,"1025 CONNECTICUT AVE NW, WASHINGTON, DC 20036",DC,high
dc_029,"1025 F ST NW, WASHINGTON, DC 20004",DC,high
dc_030,"1025 THOMAS JEFFERSON ST NW, WASHINGTON, DC 20007",DC,high
dc_031,"1025 VERMONT AVE NW, WASHINGTON, DC 20005",DC,high
dc_032,"1026 COOK DR SE, WASHINGTON, DC 20032",DC,high
dc_033,"103 G ST SW, WASHINGTON, DC 20024",DC,high
dc_034,"1032 COOK DR SE, WASHINGTON, DC 20032",DC,high
dc_035,"1039 LAWRENCE ST NE, WASHINGTON, DC 20017",DC,high
dc_036,"1050 CONNECTICUT AVE NW, WASHINGTON, DC 20036",DC,high
dc_037,"1050 INDEPENDENCE AVE SW, WASHINGTON, DC 20004",DC,high
dc_038,"1050 K ST NW, WASHINGTON, DC 20001",DC,high
dc_039,"1055 THOMAS JEFFERSON ST NW, WASHINGTON, DC 20007",DC,high
dc_040,"1080 WISCONSIN AVE NW 00PN1, WASHINGTON, DC 20007",DC,high
dc_041,"1090 VERMONT AVE NW, WASHINGTON, DC 20005",DC,high
dc_042,"1100 15TH ST NW, WASHINGTON, DC 20005",DC,high
dc_043,"1100 A OHIO DR SW, WASHINGTON, DC 20242",DC,high
dc_044,"1100 ALABAMA AVE SE, WASHINGTON, DC",DC,medium
dc_045,"1100 F ST NE, WASHINGTON, DC 20002",DC,high
dc_046,"1100 L ST NW, WASHINGTON, DC 20001",DC,high
dc_047,"1100 OAK DR SE, WASHINGTON, DC 20032",DC,high
dc_048,"1101 - 1117 15TH ST NW, WASHINGTON, DC 20005",DC,high
dc_049,"1101 15TH ST NW ROOF, WASHINGTON, DC 20005",DC,high
dc_050,"1101 17TH ST NW, WASHINGTON, DC 20036",DC,high
dc_051,"1101 CONNECTICUT AVE NW, WASHINGTON, DC 20036",DC,high
dc_052,"1101 NEW YORK AVE NW, WASHINGTON, DC 20005",DC,high
dc_053,"111 MICHIGAN AVE NW, WASHINGTON, DC 20010",DC,high
dc_054,"1110 VERMONT AVE NW, WASHINGTON, DC 20005",DC,high
dc_055,"1111 19TH ST NW, WASHINGTON, DC 20036",DC,high
dc_056,"1111 NORTH CAPITOL ST NE, WASHINGTON, DC 20002",DC,high
