id,address,label,input_confidence
dc_001,"0 6TH STREET & CONSTITUTION AVE NW, WASHINGTON, DC",DC,medium
dc_002,0 JEFFERSON DR & 7TH ST NW,DC,medium
dc_003,"1 FLORIDA AVE NE, WASHINGTON, DC 20002",DC,high
dc_004,"10 G ST NE, WASHINGTON, DC",DC,medium
dc_005,"10 THOMAS CIR NW, WASHINGTON, DC 20005",DC,high
dc_006,"100 F ST NE, WASHINGTON, DC 20549",DC,high
dc_007,"100 FLORIDA AVE NE, WASHINGTON, DC 20002",DC,high
dc_008,"100 K ST NE, WASHINGTON, DC 20002",DC,high
dc_009,"1000 12TH ST SE, WASHINGTON, DC 20003",DC,high
dc_010,"1000 JEFFERSON DR SW, WASHINGTON, DC 20560",DC,high
